"","datetime","receiver","detected","tag_range","tag_depth","case_number","sub_case_number","dm","cpdi_type","event"
"1",2016-07-12 18:58:44,"prediction",1,399,297,1,"a","direct only","Control","1a"
"3",2016-07-12 18:58:55,"prediction",1,989,297,1,"a","direct only","Control","1a"
"5",2016-07-12 18:59:05,"prediction",1,399,297,1,"a","direct only","Control","1a"
"7",2016-07-12 18:59:15,"prediction",1,989,297,1,"a","direct only","Control","1a"
"10",2016-07-12 18:59:25,"prediction",1,399,270,1,"a","direct only","Control","1a"
"11",2016-07-12 18:59:36,"prediction",1,989,270,1,"a","direct only","Control","1a"
"13",2016-07-12 18:59:46,"prediction",1,399,270,1,"a","direct only","Control","1a"
"15",2016-07-12 18:59:56,"prediction",1,989,270,1,"a","direct only","Control","1a"
"18",2016-07-12 19:00:07,"prediction",1,199,297,1,"a","direct only","Control","1a"
"19",2016-07-12 19:00:17,"prediction",1,766,297,1,"a","direct only","Control","1a"
"21",2016-07-12 19:00:27,"prediction",1,199,297,1,"a","direct only","Control","1a"
"23",2016-07-12 19:00:37,"prediction",1,766,297,1,"a","direct only","Control","1a"
"26",2016-07-12 19:00:48,"prediction",1,199,270,1,"a","direct only","Control","1a"
"27",2016-07-12 19:00:58,"prediction",1,766,270,1,"a","direct only","Control","1a"
"29",2016-07-12 19:01:08,"prediction",1,199,270,1,"a","direct only","Control","1a"
"31",2016-07-12 19:01:19,"prediction",1,766,270,1,"a","direct only","Control","1a"
"33",2016-07-12 19:01:29,"prediction",1,1,297,1,"a","direct only","Control","1a"
"36",2016-07-12 19:01:39,"prediction",1,578,297,1,"a","direct only","Control","1a"
"38",2016-07-12 19:01:50,"prediction",1,1,297,1,"a","direct only","Control","1a"
"39",2016-07-12 19:02:00,"prediction",1,578,297,1,"a","direct only","Control","1a"
"41",2016-07-12 19:02:10,"prediction",1,1,270,1,"a","direct only","Control","1a"
"44",2016-07-12 19:02:21,"prediction",1,578,270,1,"a","direct only","Control","1a"
"46",2016-07-12 19:02:31,"prediction",1,1,270,1,"a","direct only","Control","1a"
"47",2016-07-12 19:02:41,"prediction",1,578,270,1,"a","direct only","Control","1a"
"49",2016-07-12 19:10:05,"prediction",0,399,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"52",2016-07-12 19:10:15,"prediction",0,989,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"54",2016-07-12 19:10:26,"prediction",0,399,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"55",2016-07-12 19:10:36,"prediction",0,989,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"57",2016-07-12 19:10:47,"prediction",0,399,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"59",2016-07-12 19:10:57,"prediction",0,989,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"62",2016-07-12 19:11:07,"prediction",0,399,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"64",2016-07-12 19:11:18,"prediction",0,989,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"65",2016-07-12 19:11:28,"prediction",0,199,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"67",2016-07-12 19:11:39,"prediction",0,766,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"70",2016-07-12 19:11:49,"prediction",0,199,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"72",2016-07-12 19:11:59,"prediction",0,766,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"73",2016-07-12 19:12:10,"prediction",0,199,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"75",2016-07-12 19:12:20,"prediction",0,766,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"78",2016-07-12 19:12:31,"prediction",0,199,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"80",2016-07-12 19:12:41,"prediction",0,766,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"81",2016-07-12 19:12:52,"prediction",0,1,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"83",2016-07-12 19:13:02,"prediction",0,578,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"85",2016-07-12 19:13:12,"prediction",0,1,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"87",2016-07-12 19:13:23,"prediction",0,578,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"90",2016-07-12 19:13:33,"prediction",0,1,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"91",2016-07-12 19:13:44,"prediction",0,578,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"93",2016-07-12 19:13:54,"prediction",0,1,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"95",2016-07-12 19:14:05,"prediction",0,578,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"98",2016-07-12 19:24:53,"prediction",0,399,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"99",2016-07-12 19:25:03,"prediction",0,989,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"101",2016-07-12 19:25:14,"prediction",0,399,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"103",2016-07-12 19:25:24,"prediction",0,989,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"106",2016-07-12 19:25:34,"prediction",0,399,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"107",2016-07-12 19:25:45,"prediction",0,989,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"109",2016-07-12 19:25:55,"prediction",0,399,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"111",2016-07-12 19:26:06,"prediction",0,989,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"113",2016-07-12 19:26:16,"prediction",0,199,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"116",2016-07-12 19:26:27,"prediction",0,766,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"118",2016-07-12 19:26:37,"prediction",0,199,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"119",2016-07-12 19:26:48,"prediction",0,766,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"121",2016-07-12 19:26:58,"prediction",0,199,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"124",2016-07-12 19:27:09,"prediction",0,766,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"126",2016-07-12 19:27:19,"prediction",0,199,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"127",2016-07-12 19:27:30,"prediction",0,766,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"129",2016-07-12 19:27:40,"prediction",0,1,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"132",2016-07-12 19:27:51,"prediction",0,578,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"134",2016-07-12 19:28:01,"prediction",0,1,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"135",2016-07-12 19:28:12,"prediction",0,578,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"137",2016-07-12 19:28:22,"prediction",0,1,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"139",2016-07-12 19:28:33,"prediction",0,578,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"142",2016-07-12 19:28:43,"prediction",0,1,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"144",2016-07-12 19:28:54,"prediction",0,578,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"145",2016-07-12 19:37:02,"prediction",1,399,297,1,"b","direct only","Control","1b"
"147",2016-07-12 19:37:12,"prediction",1,989,297,1,"b","direct only","Control","1b"
"150",2016-07-12 19:37:22,"prediction",1,399,297,1,"b","direct only","Control","1b"
"152",2016-07-12 19:37:32,"prediction",1,989,297,1,"b","direct only","Control","1b"
"153",2016-07-12 19:37:42,"prediction",1,399,270,1,"b","direct only","Control","1b"
"155",2016-07-12 19:37:53,"prediction",1,989,270,1,"b","direct only","Control","1b"
"158",2016-07-12 19:38:03,"prediction",1,399,270,1,"b","direct only","Control","1b"
"160",2016-07-12 19:38:13,"prediction",1,989,270,1,"b","direct only","Control","1b"
"161",2016-07-12 19:38:23,"prediction",1,199,297,1,"b","direct only","Control","1b"
"163",2016-07-12 19:38:34,"prediction",1,766,297,1,"b","direct only","Control","1b"
"165",2016-07-12 19:38:44,"prediction",1,199,297,1,"b","direct only","Control","1b"
"167",2016-07-12 19:38:54,"prediction",1,766,297,1,"b","direct only","Control","1b"
"170",2016-07-12 19:39:04,"prediction",1,199,270,1,"b","direct only","Control","1b"
"171",2016-07-12 19:39:15,"prediction",1,766,270,1,"b","direct only","Control","1b"
"173",2016-07-12 19:39:25,"prediction",1,199,270,1,"b","direct only","Control","1b"
"175",2016-07-12 19:39:35,"prediction",1,766,270,1,"b","direct only","Control","1b"
"178",2016-07-12 19:39:45,"prediction",1,1,297,1,"b","direct only","Control","1b"
"179",2016-07-12 19:39:55,"prediction",1,578,297,1,"b","direct only","Control","1b"
"181",2016-07-12 19:40:06,"prediction",1,1,297,1,"b","direct only","Control","1b"
"183",2016-07-12 19:40:16,"prediction",1,578,297,1,"b","direct only","Control","1b"
"186",2016-07-12 19:40:26,"prediction",1,1,270,1,"b","direct only","Control","1b"
"187",2016-07-12 19:40:36,"prediction",1,578,270,1,"b","direct only","Control","1b"
"189",2016-07-12 19:40:47,"prediction",1,1,270,1,"b","direct only","Control","1b"
"191",2016-07-12 19:40:57,"prediction",1,578,270,1,"b","direct only","Control","1b"
"193",2016-07-12 19:43:05,"prediction",1,150,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"196",2016-07-12 19:43:15,"prediction",1,1200,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"198",2016-07-12 19:43:25,"prediction",1,150,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"200",2016-07-12 19:43:36,"prediction",1,1200,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"201",2016-07-12 19:43:46,"prediction",1,75,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"204",2016-07-12 19:43:56,"prediction",1,600,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"206",2016-07-12 19:44:06,"prediction",1,75,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"208",2016-07-12 19:44:17,"prediction",1,600,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"209",2016-07-12 19:44:27,"prediction",1,1,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"212",2016-07-12 19:44:37,"prediction",1,300,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"214",2016-07-12 19:44:48,"prediction",1,1,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"216",2016-07-12 19:44:58,"prediction",1,300,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"217",2016-07-12 19:46:28,"prediction",1,150,17.5,2,"a","direct only","Control","2a"
"219",2016-07-12 19:46:38,"prediction",1,1200,17.5,2,"a","direct only","Control","2a"
"222",2016-07-12 19:46:48,"prediction",1,150,17.5,2,"a","direct only","Control","2a"
"224",2016-07-12 19:46:59,"prediction",1,1200,17.5,2,"a","direct only","Control","2a"
"226",2016-07-12 19:47:09,"prediction",1,75,17.5,2,"a","direct only","Control","2a"
"227",2016-07-12 19:47:19,"prediction",1,600,17.5,2,"a","direct only","Control","2a"
"230",2016-07-12 19:47:30,"prediction",1,75,17.5,2,"a","direct only","Control","2a"
"232",2016-07-12 19:47:40,"prediction",1,600,17.5,2,"a","direct only","Control","2a"
"234",2016-07-12 19:47:50,"prediction",1,1,17.5,2,"a","direct only","Control","2a"
"235",2016-07-12 19:48:01,"prediction",1,300,17.5,2,"a","direct only","Control","2a"
"238",2016-07-12 19:48:11,"prediction",1,1,17.5,2,"a","direct only","Control","2a"
"240",2016-07-12 19:48:21,"prediction",1,300,17.5,2,"a","direct only","Control","2a"
"242",2016-07-12 19:50:36,"prediction",1,150,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"243",2016-07-12 19:50:46,"prediction",1,1200,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"245",2016-07-12 19:50:56,"prediction",1,150,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"247",2016-07-12 19:51:07,"prediction",1,1200,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"249",2016-07-12 19:51:17,"prediction",1,75,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"252",2016-07-12 19:51:27,"prediction",1,600,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"253",2016-07-12 19:51:38,"prediction",1,75,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"255",2016-07-12 19:51:48,"prediction",1,600,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"257",2016-07-12 19:51:58,"prediction",1,1,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"260",2016-07-12 19:52:09,"prediction",1,300,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"261",2016-07-12 19:52:19,"prediction",1,1,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"263",2016-07-12 19:52:29,"prediction",1,300,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"265",2016-07-12 19:54:04,"prediction",1,150,17.5,2,"b","direct only","Control","2b"
"268",2016-07-12 19:54:14,"prediction",1,1200,17.5,2,"b","direct only","Control","2b"
"269",2016-07-12 19:54:25,"prediction",1,150,17.5,2,"b","direct only","Control","2b"
"271",2016-07-12 19:54:35,"prediction",1,1200,17.5,2,"b","direct only","Control","2b"
"273",2016-07-12 19:54:45,"prediction",1,75,17.5,2,"b","direct only","Control","2b"
"275",2016-07-12 19:54:56,"prediction",1,600,17.5,2,"b","direct only","Control","2b"
"278",2016-07-12 19:55:06,"prediction",1,75,17.5,2,"b","direct only","Control","2b"
"280",2016-07-12 19:55:17,"prediction",1,600,17.5,2,"b","direct only","Control","2b"
"281",2016-07-12 19:55:27,"prediction",1,1,17.5,2,"b","direct only","Control","2b"
"283",2016-07-12 19:55:37,"prediction",1,300,17.5,2,"b","direct only","Control","2b"
"286",2016-07-12 19:55:48,"prediction",1,1,17.5,2,"b","direct only","Control","2b"
"288",2016-07-12 19:55:58,"prediction",1,300,17.5,2,"b","direct only","Control","2b"
"289",2016-07-12 19:57:27,"prediction",1,150,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"291",2016-07-12 19:57:38,"prediction",1,1200,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"294",2016-07-12 19:57:48,"prediction",1,150,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"296",2016-07-12 19:57:58,"prediction",1,1200,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"297",2016-07-12 19:58:09,"prediction",1,75,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"299",2016-07-12 19:58:19,"prediction",1,600,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"301",2016-07-12 19:58:30,"prediction",1,75,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"304",2016-07-12 19:58:40,"prediction",1,600,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"306",2016-07-12 19:58:50,"prediction",1,1,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"307",2016-07-12 19:59:01,"prediction",1,300,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"309",2016-07-12 19:59:11,"prediction",1,1,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"312",2016-07-12 19:59:22,"prediction",1,300,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"314",2016-07-12 20:01:09,"prediction",1,150,17.5,2,"c","direct only","Control","2c"
"315",2016-07-12 20:01:20,"prediction",1,1200,17.5,2,"c","direct only","Control","2c"
"317",2016-07-12 20:01:30,"prediction",1,150,17.5,2,"c","direct only","Control","2c"
"320",2016-07-12 20:01:40,"prediction",1,1200,17.5,2,"c","direct only","Control","2c"
"322",2016-07-12 20:01:51,"prediction",1,75,17.5,2,"c","direct only","Control","2c"
"323",2016-07-12 20:02:01,"prediction",1,600,17.5,2,"c","direct only","Control","2c"
"325",2016-07-12 20:02:12,"prediction",1,75,17.5,2,"c","direct only","Control","2c"
"327",2016-07-12 20:02:22,"prediction",1,600,17.5,2,"c","direct only","Control","2c"
"329",2016-07-12 20:02:33,"prediction",1,1,17.5,2,"c","direct only","Control","2c"
"332",2016-07-12 20:02:43,"prediction",1,300,17.5,2,"c","direct only","Control","2c"
"333",2016-07-12 20:02:53,"prediction",1,1,17.5,2,"c","direct only","Control","2c"
"335",2016-07-12 20:03:04,"prediction",1,300,17.5,2,"c","direct only","Control","2c"
"337",2016-07-12 20:12:46,"prediction",0,1,48,3,"a","multipath","multipath_cpdi_predicted","3a"
"340",2016-07-12 20:12:57,"prediction",0,1,48,3,"a","multipath","multipath_cpdi_predicted","3a"
"341",2016-07-12 20:14:18,"prediction",0,1,48,3,"a","direct only","Control","3a"
"343",2016-07-12 20:14:29,"prediction",0,1,48,3,"a","direct only","Control","3a"
"345",2016-07-12 20:18:10,"prediction",0,1,210,3,"b","multipath","multipath_cpdi_predicted","3b"
"348",2016-07-12 20:18:21,"prediction",0,1,210,3,"b","multipath","multipath_cpdi_predicted","3b"
"349",2016-07-12 20:20:04,"prediction",1,1,210,3,"b","direct only","Control","3b"
"351",2016-07-12 20:20:14,"prediction",1,1,210,3,"b","direct only","Control","3b"
"353",2016-07-12 20:22:14,"prediction",0,60,298,4,"a","multipath","multipath_cpdi_predicted","4a"
"355",2016-07-12 20:22:24,"prediction",0,508,298,4,"a","multipath","multipath_cpdi_predicted","4a"
"358",2016-07-12 20:22:35,"prediction",0,60,298,4,"a","multipath","multipath_cpdi_predicted","4a"
"360",2016-07-12 20:22:45,"prediction",0,508,298,4,"a","multipath","multipath_cpdi_predicted","4a"
"361",2016-07-12 20:24:27,"prediction",1,60,298,4,"a","direct only","Control","4a"
"363",2016-07-12 20:24:37,"prediction",1,508,298,4,"a","direct only","Control","4a"
"366",2016-07-12 20:24:48,"prediction",1,60,298,4,"a","direct only","Control","4a"
"368",2016-07-12 20:24:58,"prediction",1,508,298,4,"a","direct only","Control","4a"
"369",2016-07-12 20:27:09,"prediction",0,199,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"371",2016-07-12 20:27:19,"prediction",0,578,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"374",2016-07-12 20:27:29,"prediction",0,989,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"376",2016-07-12 20:27:40,"prediction",0,199,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"377",2016-07-12 20:27:50,"prediction",0,578,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"379",2016-07-12 20:28:00,"prediction",0,989,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"381",2016-07-12 20:28:11,"prediction",0,199,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"384",2016-07-12 20:28:21,"prediction",0,578,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"386",2016-07-12 20:28:31,"prediction",0,989,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"387",2016-07-12 20:28:42,"prediction",0,199,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"389",2016-07-12 20:28:52,"prediction",0,578,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"392",2016-07-12 20:29:02,"prediction",0,989,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"394",2016-07-12 20:29:13,"prediction",0,199,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"395",2016-07-12 20:29:23,"prediction",0,578,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"397",2016-07-12 20:29:33,"prediction",0,989,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"400",2016-07-12 20:29:44,"prediction",0,199,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"402",2016-07-12 20:29:54,"prediction",0,578,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"403",2016-07-12 20:30:04,"prediction",0,989,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"405",2016-07-12 20:30:15,"prediction",0,1,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"407",2016-07-12 20:30:25,"prediction",0,399,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"409",2016-07-12 20:30:35,"prediction",0,766,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"412",2016-07-12 20:30:46,"prediction",0,1,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"413",2016-07-12 20:30:56,"prediction",0,399,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"415",2016-07-12 20:31:07,"prediction",0,766,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"417",2016-07-12 20:31:17,"prediction",0,1,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"420",2016-07-12 20:31:27,"prediction",0,399,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"421",2016-07-12 20:31:38,"prediction",0,766,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"423",2016-07-12 20:31:48,"prediction",0,1,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"425",2016-07-12 20:31:58,"prediction",0,399,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"428",2016-07-12 20:32:09,"prediction",0,766,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"429",2016-07-12 20:32:19,"prediction",0,1,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"431",2016-07-12 20:32:29,"prediction",0,399,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"433",2016-07-12 20:32:40,"prediction",0,766,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"435",2016-07-12 20:32:50,"prediction",0,1,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"438",2016-07-12 20:33:01,"prediction",0,399,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"440",2016-07-12 20:33:11,"prediction",0,766,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"442",2016-07-12 20:35:31,"prediction",1,199,297,1,"a","direct only","Control","1a"
"443",2016-07-12 20:35:42,"prediction",1,578,297,1,"a","direct only","Control","1a"
"446",2016-07-12 20:35:52,"prediction",1,989,297,1,"a","direct only","Control","1a"
"448",2016-07-12 20:36:02,"prediction",1,199,297,1,"a","direct only","Control","1a"
