"","datetime","receiver","detected","tag_range","tag_depth","case_number","sub_case_number","dm","cpdi_type","event"
"4501",2016-07-12 20:36:13,"v129577",1,578,297,1,"a","direct only","Control","1a"
"4511",2016-07-12 20:36:23,"v129577",1,989,297,1,"a","direct only","Control","1a"
"4541",2016-07-12 20:36:33,"v129577",1,199,297,1,"a","direct only","Control","1a"
"4561",2016-07-12 20:36:44,"v129577",1,578,297,1,"a","direct only","Control","1a"
"4581",2016-07-12 20:36:54,"v129577",1,989,297,1,"a","direct only","Control","1a"
"4591",2016-07-12 20:37:04,"v129577",1,199,270,1,"a","direct only","Control","1a"
"4611",2016-07-12 20:37:15,"v129577",1,578,270,1,"a","direct only","Control","1a"
"4641",2016-07-12 20:37:25,"v129577",1,989,270,1,"a","direct only","Control","1a"
"4661",2016-07-12 20:37:35,"v129577",1,199,270,1,"a","direct only","Control","1a"
"4681",2016-07-12 20:37:46,"v129577",1,578,270,1,"a","direct only","Control","1a"
"4691",2016-07-12 20:37:56,"v129577",1,989,270,1,"a","direct only","Control","1a"
"4721",2016-07-12 20:38:07,"v129577",1,199,270,1,"a","direct only","Control","1a"
"4741",2016-07-12 20:38:17,"v129577",1,578,270,1,"a","direct only","Control","1a"
"4761",2016-07-12 20:38:27,"v129577",1,989,270,1,"a","direct only","Control","1a"
"4771",2016-07-12 20:38:38,"v129577",1,1,297,1,"a","direct only","Control","1a"
"4801",2016-07-12 20:38:48,"v129577",1,399,297,1,"a","direct only","Control","1a"
"4821",2016-07-12 20:38:58,"v129577",1,766,297,1,"a","direct only","Control","1a"
"4841",2016-07-12 20:39:09,"v129577",1,1,297,1,"a","direct only","Control","1a"
"4851",2016-07-12 20:39:19,"v129577",1,399,297,1,"a","direct only","Control","1a"
"4871",2016-07-12 20:39:29,"v129577",1,766,297,1,"a","direct only","Control","1a"
"4891",2016-07-12 20:39:40,"v129577",1,1,297,1,"a","direct only","Control","1a"
"4911",2016-07-12 20:39:50,"v129577",1,399,297,1,"a","direct only","Control","1a"
"4941",2016-07-12 20:40:01,"v129577",1,766,297,1,"a","direct only","Control","1a"
"4951",2016-07-12 20:40:11,"v129577",1,1,270,1,"a","direct only","Control","1a"
"4971",2016-07-12 20:40:21,"v129577",1,399,270,1,"a","direct only","Control","1a"
"4991",2016-07-12 20:40:32,"v129577",1,766,270,1,"a","direct only","Control","1a"
"5021",2016-07-12 20:40:42,"v129577",1,1,270,1,"a","direct only","Control","1a"
"5031",2016-07-12 20:40:52,"v129577",0,399,270,1,"a","direct only","Control","1a"
"5051",2016-07-12 20:41:03,"v129577",1,766,270,1,"a","direct only","Control","1a"
"5071",2016-07-12 20:41:13,"v129577",1,1,270,1,"a","direct only","Control","1a"
"5101",2016-07-12 20:41:24,"v129577",1,399,270,1,"a","direct only","Control","1a"
"5111",2016-07-12 20:41:34,"v129577",1,766,270,1,"a","direct only","Control","1a"
"5131",2016-07-12 20:47:34,"v129577",0,199,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5151",2016-07-12 20:47:45,"v129577",0,578,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5171",2016-07-12 20:47:55,"v129577",0,989,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5201",2016-07-12 20:48:05,"v129577",0,199,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5221",2016-07-12 20:48:16,"v129577",0,578,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5231",2016-07-12 20:48:26,"v129577",0,989,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5251",2016-07-12 20:48:36,"v129577",0,199,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5281",2016-07-12 20:48:46,"v129577",0,578,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5301",2016-07-12 20:48:57,"v129577",0,989,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5311",2016-07-12 20:49:07,"v129577",0,199,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5331",2016-07-12 20:49:18,"v129577",0,578,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5361",2016-07-12 20:49:28,"v129577",0,989,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5381",2016-07-12 20:49:38,"v129577",0,199,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5391",2016-07-12 20:49:48,"v129577",0,578,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5411",2016-07-12 20:49:59,"v129577",0,989,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5431",2016-07-12 20:50:09,"v129577",0,199,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5461",2016-07-12 20:50:19,"v129577",0,578,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5481",2016-07-12 20:50:30,"v129577",0,989,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5491",2016-07-12 20:50:40,"v129577",0,1,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5511",2016-07-12 20:50:50,"v129577",0,399,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5541",2016-07-12 20:51:01,"v129577",0,766,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5561",2016-07-12 20:51:11,"v129577",0,1,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5571",2016-07-12 20:51:21,"v129577",0,399,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5591",2016-07-12 20:51:32,"v129577",0,766,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5621",2016-07-12 20:51:42,"v129577",0,1,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5641",2016-07-12 20:51:52,"v129577",0,399,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5651",2016-07-12 20:52:02,"v129577",0,766,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"5671",2016-07-12 20:52:13,"v129577",0,1,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5691",2016-07-12 20:52:23,"v129577",0,399,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5711",2016-07-12 20:52:33,"v129577",0,766,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5741",2016-07-12 20:52:44,"v129577",0,1,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5751",2016-07-12 20:52:54,"v129577",0,399,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5771",2016-07-12 20:53:04,"v129577",0,766,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5791",2016-07-12 20:53:15,"v129577",0,1,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5821",2016-07-12 20:53:25,"v129577",0,399,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5831",2016-07-12 20:53:36,"v129577",0,766,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"5851",2016-07-12 20:55:08,"v129577",1,199,297,1,"b","direct only","Control","1b"
"5871",2016-07-12 20:55:18,"v129577",1,578,297,1,"b","direct only","Control","1b"
"5901",2016-07-12 20:55:28,"v129577",1,989,297,1,"b","direct only","Control","1b"
"5911",2016-07-12 20:55:39,"v129577",1,199,297,1,"b","direct only","Control","1b"
"5931",2016-07-12 20:55:49,"v129577",1,578,297,1,"b","direct only","Control","1b"
"5951",2016-07-12 20:55:59,"v129577",1,989,297,1,"b","direct only","Control","1b"
"5971",2016-07-12 20:56:10,"v129577",1,199,297,1,"b","direct only","Control","1b"
"6001",2016-07-12 20:56:20,"v129577",1,578,297,1,"b","direct only","Control","1b"
"6021",2016-07-12 20:56:30,"v129577",1,989,297,1,"b","direct only","Control","1b"
"6031",2016-07-12 20:56:41,"v129577",1,199,270,1,"b","direct only","Control","1b"
"6051",2016-07-12 20:56:51,"v129577",1,578,270,1,"b","direct only","Control","1b"
"6081",2016-07-12 20:57:01,"v129577",1,989,270,1,"b","direct only","Control","1b"
"6101",2016-07-12 20:57:11,"v129577",1,199,270,1,"b","direct only","Control","1b"
"6111",2016-07-12 20:57:22,"v129577",1,578,270,1,"b","direct only","Control","1b"
"6131",2016-07-12 20:57:32,"v129577",1,989,270,1,"b","direct only","Control","1b"
"6161",2016-07-12 20:57:42,"v129577",1,199,270,1,"b","direct only","Control","1b"
"6181",2016-07-12 20:57:53,"v129577",1,578,270,1,"b","direct only","Control","1b"
"6191",2016-07-12 20:58:03,"v129577",1,989,270,1,"b","direct only","Control","1b"
"6211",2016-07-12 20:58:13,"v129577",1,1,297,1,"b","direct only","Control","1b"
"6231",2016-07-12 20:58:24,"v129577",1,399,297,1,"b","direct only","Control","1b"
"6261",2016-07-12 20:58:34,"v129577",1,766,297,1,"b","direct only","Control","1b"
"6281",2016-07-12 20:58:44,"v129577",1,1,297,1,"b","direct only","Control","1b"
"6291",2016-07-12 20:58:55,"v129577",1,399,297,1,"b","direct only","Control","1b"
"6311",2016-07-12 20:59:05,"v129577",1,766,297,1,"b","direct only","Control","1b"
"6341",2016-07-12 20:59:15,"v129577",1,1,297,1,"b","direct only","Control","1b"
"6361",2016-07-12 20:59:26,"v129577",1,399,297,1,"b","direct only","Control","1b"
"6371",2016-07-12 20:59:36,"v129577",1,766,297,1,"b","direct only","Control","1b"
"6391",2016-07-12 20:59:46,"v129577",1,1,270,1,"b","direct only","Control","1b"
"6421",2016-07-12 20:59:57,"v129577",1,399,270,1,"b","direct only","Control","1b"
"6441",2016-07-12 21:00:07,"v129577",1,766,270,1,"b","direct only","Control","1b"
"6451",2016-07-12 21:00:17,"v129577",1,1,270,1,"b","direct only","Control","1b"
"6471",2016-07-12 21:00:28,"v129577",1,399,270,1,"b","direct only","Control","1b"
"6491",2016-07-12 21:00:38,"v129577",1,766,270,1,"b","direct only","Control","1b"
"6511",2016-07-12 21:00:48,"v129577",1,1,270,1,"b","direct only","Control","1b"
"6541",2016-07-12 21:00:59,"v129577",0,399,270,1,"b","direct only","Control","1b"
"6551",2016-07-12 21:01:09,"v129577",1,766,270,1,"b","direct only","Control","1b"
"6571",2016-07-12 21:03:33,"v129577",1,75,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6591",2016-07-12 21:03:43,"v129577",1,300,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6621",2016-07-12 21:03:54,"v129577",1,1200,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6631",2016-07-12 21:04:04,"v129577",1,75,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6651",2016-07-12 21:04:14,"v129577",1,300,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6671",2016-07-12 21:04:25,"v129577",1,1200,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6701",2016-07-12 21:04:35,"v129577",1,75,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6711",2016-07-12 21:04:46,"v129577",1,300,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6731",2016-07-12 21:04:56,"v129577",1,1200,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6751",2016-07-12 21:05:06,"v129577",1,1,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6771",2016-07-12 21:05:17,"v129577",1,150,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6801",2016-07-12 21:05:27,"v129577",1,600,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6821",2016-07-12 21:05:38,"v129577",1,1,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6841",2016-07-12 21:05:48,"v129577",1,150,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6851",2016-07-12 21:05:58,"v129577",1,600,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6881",2016-07-12 21:06:09,"v129577",0,1,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6901",2016-07-12 21:06:19,"v129577",1,150,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6921",2016-07-12 21:06:30,"v129577",1,600,17.5,2,"a","multipath","multipath_no_cpdi_predicted","2a"
"6931",2016-07-12 21:08:08,"v129577",1,75,17.5,2,"a","direct only","Control","2a"
"6961",2016-07-12 21:08:18,"v129577",1,300,17.5,2,"a","direct only","Control","2a"
"6981",2016-07-12 21:08:28,"v129577",1,1200,17.5,2,"a","direct only","Control","2a"
"7001",2016-07-12 21:08:39,"v129577",1,75,17.5,2,"a","direct only","Control","2a"
"7011",2016-07-12 21:08:49,"v129577",1,300,17.5,2,"a","direct only","Control","2a"
"7031",2016-07-12 21:09:00,"v129577",1,1200,17.5,2,"a","direct only","Control","2a"
"7061",2016-07-12 21:09:10,"v129577",1,75,17.5,2,"a","direct only","Control","2a"
"7081",2016-07-12 21:09:21,"v129577",1,300,17.5,2,"a","direct only","Control","2a"
"7101",2016-07-12 21:09:31,"v129577",1,1200,17.5,2,"a","direct only","Control","2a"
"7111",2016-07-12 21:09:41,"v129577",1,1,17.5,2,"a","direct only","Control","2a"
"7141",2016-07-12 21:09:52,"v129577",1,150,17.5,2,"a","direct only","Control","2a"
"7161",2016-07-12 21:10:02,"v129577",1,600,17.5,2,"a","direct only","Control","2a"
"7181",2016-07-12 21:10:13,"v129577",1,1,17.5,2,"a","direct only","Control","2a"
"7191",2016-07-12 21:10:23,"v129577",1,150,17.5,2,"a","direct only","Control","2a"
"7221",2016-07-12 21:10:34,"v129577",1,600,17.5,2,"a","direct only","Control","2a"
"7241",2016-07-12 21:10:44,"v129577",0,1,17.5,2,"a","direct only","Control","2a"
"7261",2016-07-12 21:10:54,"v129577",0,150,17.5,2,"a","direct only","Control","2a"
"7271",2016-07-12 21:11:05,"v129577",0,600,17.5,2,"a","direct only","Control","2a"
"7291",2016-07-12 21:15:30,"v129577",1,75,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7311",2016-07-12 21:15:40,"v129577",1,300,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7331",2016-07-12 21:15:50,"v129577",1,1200,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7361",2016-07-12 21:16:01,"v129577",1,75,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7371",2016-07-12 21:16:11,"v129577",1,300,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7391",2016-07-12 21:16:21,"v129577",1,1200,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7411",2016-07-12 21:16:31,"v129577",1,75,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7441",2016-07-12 21:16:42,"v129577",1,300,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7451",2016-07-12 21:16:52,"v129577",1,1200,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7471",2016-07-12 21:17:02,"v129577",1,1,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7491",2016-07-12 21:17:12,"v129577",1,150,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7521",2016-07-12 21:17:22,"v129577",1,600,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7531",2016-07-12 21:17:33,"v129577",1,1,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7551",2016-07-12 21:17:43,"v129577",1,150,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7571",2016-07-12 21:17:53,"v129577",1,600,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7591",2016-07-12 21:18:03,"v129577",1,1,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7621",2016-07-12 21:18:14,"v129577",1,150,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7641",2016-07-12 21:18:24,"v129577",1,600,17.5,2,"b","multipath","multipath_no_cpdi_predicted","2b"
"7651",2016-07-12 21:20:00,"v129577",1,75,17.5,2,"b","direct only","Control","2b"
"7671",2016-07-12 21:20:10,"v129577",1,300,17.5,2,"b","direct only","Control","2b"
"7701",2016-07-12 21:20:20,"v129577",1,1200,17.5,2,"b","direct only","Control","2b"
"7721",2016-07-12 21:20:30,"v129577",1,75,17.5,2,"b","direct only","Control","2b"
"7731",2016-07-12 21:20:41,"v129577",1,300,17.5,2,"b","direct only","Control","2b"
"7751",2016-07-12 21:20:51,"v129577",1,1200,17.5,2,"b","direct only","Control","2b"
"7781",2016-07-12 21:21:01,"v129577",1,75,17.5,2,"b","direct only","Control","2b"
"7801",2016-07-12 21:21:12,"v129577",1,300,17.5,2,"b","direct only","Control","2b"
"7811",2016-07-12 21:21:22,"v129577",1,1200,17.5,2,"b","direct only","Control","2b"
"7831",2016-07-12 21:21:32,"v129577",1,1,17.5,2,"b","direct only","Control","2b"
"7851",2016-07-12 21:21:42,"v129577",1,150,17.5,2,"b","direct only","Control","2b"
"7881",2016-07-12 21:21:53,"v129577",1,600,17.5,2,"b","direct only","Control","2b"
"7901",2016-07-12 21:22:03,"v129577",1,1,17.5,2,"b","direct only","Control","2b"
"7911",2016-07-12 21:22:13,"v129577",1,150,17.5,2,"b","direct only","Control","2b"
"7931",2016-07-12 21:22:23,"v129577",1,600,17.5,2,"b","direct only","Control","2b"
"7961",2016-07-12 21:22:34,"v129577",1,1,17.5,2,"b","direct only","Control","2b"
"7981",2016-07-12 21:22:44,"v129577",1,150,17.5,2,"b","direct only","Control","2b"
"7991",2016-07-12 21:22:54,"v129577",1,600,17.5,2,"b","direct only","Control","2b"
"8011",2016-07-12 21:24:42,"v129577",1,75,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8041",2016-07-12 21:24:52,"v129577",1,300,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8061",2016-07-12 21:25:03,"v129577",1,1200,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8071",2016-07-12 21:25:13,"v129577",1,75,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8091",2016-07-12 21:25:23,"v129577",1,300,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8111",2016-07-12 21:25:34,"v129577",1,1200,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8131",2016-07-12 21:25:44,"v129577",1,75,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8161",2016-07-12 21:25:54,"v129577",1,300,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8171",2016-07-12 21:26:05,"v129577",1,1200,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8191",2016-07-12 21:26:15,"v129577",1,1,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8211",2016-07-12 21:26:25,"v129577",1,150,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8241",2016-07-12 21:26:36,"v129577",1,600,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8251",2016-07-12 21:26:46,"v129577",1,1,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8271",2016-07-12 21:26:56,"v129577",1,150,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8291",2016-07-12 21:27:07,"v129577",1,600,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8321",2016-07-12 21:27:17,"v129577",0,1,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8331",2016-07-12 21:27:27,"v129577",1,150,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8351",2016-07-12 21:27:38,"v129577",1,600,17.5,2,"c","multipath","multipath_no_cpdi_predicted","2c"
"8371",2016-07-12 21:29:12,"v129577",1,75,17.5,2,"c","direct only","Control","2c"
"8391",2016-07-12 21:29:22,"v129577",1,300,17.5,2,"c","direct only","Control","2c"
"8421",2016-07-12 21:29:33,"v129577",1,1200,17.5,2,"c","direct only","Control","2c"
"8441",2016-07-12 21:29:43,"v129577",1,75,17.5,2,"c","direct only","Control","2c"
"8451",2016-07-12 21:29:53,"v129577",1,300,17.5,2,"c","direct only","Control","2c"
"8471",2016-07-12 21:30:04,"v129577",1,1200,17.5,2,"c","direct only","Control","2c"
"8501",2016-07-12 21:30:14,"v129577",1,75,17.5,2,"c","direct only","Control","2c"
"8521",2016-07-12 21:30:24,"v129577",1,300,17.5,2,"c","direct only","Control","2c"
"8531",2016-07-12 21:30:35,"v129577",1,1200,17.5,2,"c","direct only","Control","2c"
"8551",2016-07-12 21:30:45,"v129577",1,1,17.5,2,"c","direct only","Control","2c"
"8581",2016-07-12 21:30:56,"v129577",1,150,17.5,2,"c","direct only","Control","2c"
"8601",2016-07-12 21:31:06,"v129577",1,600,17.5,2,"c","direct only","Control","2c"
"8611",2016-07-12 21:31:16,"v129577",1,1,17.5,2,"c","direct only","Control","2c"
"8631",2016-07-12 21:31:27,"v129577",1,150,17.5,2,"c","direct only","Control","2c"
"8651",2016-07-12 21:31:37,"v129577",1,600,17.5,2,"c","direct only","Control","2c"
"8681",2016-07-12 21:31:47,"v129577",1,1,17.5,2,"c","direct only","Control","2c"
"8701",2016-07-12 21:31:58,"v129577",0,150,17.5,2,"c","direct only","Control","2c"
"8711",2016-07-12 21:32:08,"v129577",1,600,17.5,2,"c","direct only","Control","2c"
"8731",2016-07-12 21:33:30,"v129577",0,1,48,3,"a","multipath","multipath_cpdi_predicted","3a"
"8761",2016-07-12 21:33:41,"v129577",0,1,48,3,"a","multipath","multipath_cpdi_predicted","3a"
"8781",2016-07-12 21:33:51,"v129577",0,1,48,3,"a","multipath","multipath_cpdi_predicted","3a"
"8791",2016-07-12 21:35:13,"v129577",0,1,48,3,"a","direct only","Control","3a"
"8811",2016-07-12 21:35:24,"v129577",0,1,48,3,"a","direct only","Control","3a"
"8841",2016-07-12 21:35:34,"v129577",0,1,48,3,"a","direct only","Control","3a"
"8861",2016-07-12 21:37:11,"v129577",0,1,210,3,"b","multipath","multipath_cpdi_predicted","3b"
"8871",2016-07-12 21:37:21,"v129577",0,1,210,3,"b","multipath","multipath_cpdi_predicted","3b"
"8891",2016-07-12 21:37:32,"v129577",0,1,210,3,"b","multipath","multipath_cpdi_predicted","3b"
"8911",2016-07-12 21:39:15,"v129577",0,1,210,3,"b","direct only","Control","3b"
"8931",2016-07-12 21:39:25,"v129577",0,1,210,3,"b","direct only","Control","3b"
"8961",2016-07-12 21:39:36,"v129577",0,1,210,3,"b","direct only","Control","3b"
"8971",2016-07-12 21:41:14,"v129577",0,60,298,4,"a","multipath","multipath_cpdi_predicted","4a"
"8991",2016-07-12 21:41:24,"v129577",0,508,298,4,"a","multipath","multipath_cpdi_predicted","4a"
"9011",2016-07-12 21:41:35,"v129577",0,508,298,4,"a","multipath","multipath_cpdi_predicted","4a"
"9041",2016-07-12 21:41:45,"v129577",0,60,298,4,"a","multipath","multipath_cpdi_predicted","4a"
"9051",2016-07-12 21:41:56,"v129577",0,60,298,4,"a","multipath","multipath_cpdi_predicted","4a"
"9071",2016-07-12 21:42:06,"v129577",0,508,298,4,"a","multipath","multipath_cpdi_predicted","4a"
"9091",2016-07-12 21:43:20,"v129577",1,60,298,4,"a","direct only","Control","4a"
"9121",2016-07-12 21:43:30,"v129577",1,508,298,4,"a","direct only","Control","4a"
"9131",2016-07-12 21:43:41,"v129577",1,508,298,4,"a","direct only","Control","4a"
"9151",2016-07-12 21:43:51,"v129577",1,60,298,4,"a","direct only","Control","4a"
"9171",2016-07-12 21:44:02,"v129577",1,60,298,4,"a","direct only","Control","4a"
"9191",2016-07-12 21:44:12,"v129577",1,508,298,4,"a","direct only","Control","4a"
